year,name,code,gini
1991,Germany,DEU,0.3790804852483601
1991,France,FRA,0.4875809815990663
1991,India,IND,0.43040984199752585
1991,Russian Federation,RUS,0.3190896114111701
1991,USA,USA,0.5144118668205799
1991,Yemen,YEM,0.5902649477508891
1992,China,CHN,0.34878377681682066
1992,Czech Republic,CZE,0.2655123680593151
1992,Germany,DEU,0.3742587471384681
1992,France,FRA,0.4810696636558299
1992,India,IND,0.4374614821855527
1992,Jordan,JOR,0.5803115833520001
1992,Poland,POL,0.3169814290059828
1992,Russian Federation,RUS,0.4326031536572871
1992,Slovenia,SVN,0.23515246216999985
1992,USA,USA,0.5282365201278933
1992,Yemen,YEM,0.5902649477508891
1993,Cote d'Ivoire,CIV,0.542669313899434
1993,China,CHN,0.36112407466583546
1993,Czech Republic,CZE,0.2751688228102963
1993,Germany,DEU,0.3681182161175671
1993,France,FRA,0.4819357603578285
1993,India,IND,0.4514454119850261
1993,Poland,POL,0.3283903405221682
1993,Russian Federation,RUS,0.4624898604866343
1993,Slovenia,SVN,0.3112205505300001
1993,USA,USA,0.5265656990918799
1993,Yemen,YEM,0.5902649477508891
1994,China,CHN,0.3682534479494095
1994,Czech Republic,CZE,0.28505242628849314
1994,Germany,DEU,0.364003920784571
1994,France,FRA,0.480821714794079
1994,India,IND,0.4630053099011318
1994,Poland,POL,0.35553193046758513
1994,Russian Federation,RUS,0.5406057177919767
1994,Slovenia,SVN,0.2702410578100001
1994,Turkey,TUR,0.7110027386740001
1994,USA,USA,0.5285621414252198
1994,Yemen,YEM,0.5902649477508891
1995,Bahrain,BHR,0.6089170127300001
1995,China,CHN,0.3674525858559576
1995,Czech Republic,CZE,0.2950768771640291
1995,Germany,DEU,0.3644739437746392
1995,France,FRA,0.4801105145870277
1995,India,IND,0.464754629981481
1995,Korea, Republic of,0.22467915099924
1995,Poland,POL,0.38229008236066575
1995,Russian Federation,RUS,0.567019414688254
1995,Slovenia,SVN,0.32802962366
1995,USA,USA,0.5368167305400668
1995,Yemen,YEM,0.5902649477508891
1996,China,CHN,0.37251530083584705
1996,Czech Republic,CZE,0.3053158365522337
1996,Germany,DEU,0.37450271098712695
1996,France,FRA,0.48395712893775894
1996,India,IND,0.45964904037970294
1996,Korea, Republic of,0.2559706403851999
1996,Poland,POL,0.37529079187851744
1996,Palestine,PSE,0.569844837026
1996,Russian Federation,RUS,0.6371271496089829
1996,Slovenia,SVN,0.33986621206
1996,USA,USA,0.5440792716215215
1996,Yemen,YEM,0.5902649477508891
1997,China,CHN,0.3776702499073649
1997,Czech Republic,CZE,0.304196305821973
1997,Germany,DEU,0.3818427959132399
1997,France,FRA,0.4830287200752177
1997,India,IND,0.4657934477087249
1997,Korea, Republic of,0.26267967200669984
1997,Poland,POL,0.370699492579474
1997,Palestine,PSE,0.5728215499222429
1997,Russian Federation,RUS,0.5940234294944661
1997,Slovenia,SVN,0.3248789801900001
1997,USA,USA,0.5498927202340822
1997,Yemen,YEM,0.5902649477508891
1998,United Arab Emirates,ARE,0.628820896238
1998,Cote d'Ivoire,CIV,0.582880686715864
1998,China,CHN,0.3791320949197767
1998,Czech Republic,CZE,0.30313193455006504
1998,Germany,DEU,0.3876393197331793
1998,France,FRA,0.4855038431192078
1998,India,IND,0.4696935274291392
1998,Korea, Republic of,0.2430814570003299
1998,Poland,POL,0.3781778972434368
1998,Palestine,PSE,0.5768154873419141
1998,Russian Federation,RUS,0.5653491943715827
1998,Slovenia,SVN,0.33056395198000005
1998,USA,USA,0.5513645508474381
1998,Yemen,YEM,0.5902649477508891
1999,China,CHN,0.3841426451735323
1999,Czech Republic,CZE,0.3020508073683539
1999,Germany,DEU,0.3899844372897957
1999,Egypt,EGY,0.561085014644
1999,France,FRA,0.4860968026154655
1999,India,IND,0.471504337369448
1999,Korea, Republic of,0.2569965175902801
1999,Poland,POL,0.36936962719006894
1999,Russian Federation,RUS,0.5801599755523228
1999,Slovenia,SVN,0.33630003187
1999,USA,USA,0.5563617249836006
1999,Yemen,YEM,0.5902649477508891
2000,China,CHN,0.3993900730222356
2000,Czech Republic,CZE,0.3010222649984429
2000,Germany,DEU,0.3948035614594798
2000,France,FRA,0.4871918042520251
2000,India,IND,0.4743997740642667
2000,Korea, Republic of,0.26585539950581005
2000,Poland,POL,0.38379500026849606
2000,Russian Federation,RUS,0.595118930503884
2000,Slovenia,SVN,0.32866893564
2000,USA,USA,0.5609693024179211
2000,Yemen,YEM,0.5902649477508891
2001,Brazil,BRA,0.645269282364
2001,China,CHN,0.4098118774663116
2001,Czech Republic,CZE,0.30002159346126
2001,Germany,DEU,0.3946931778879379
2001,France,FRA,0.4828763626129999
2001,India,IND,0.4840609769629422
2001,Korea, Republic of,0.27490785699361986
