name,code,gini
Korea, Republic of,0.26267967200669984
Poland,POL,0.370699492579474
Palestine,PSE,0.572821549922243
Russian Federation,RUS,0.594023429494466
Slovenia,SVN,0.32487898019000006
USA,USA,0.5498927202340822
Yemen,YEM,0.590264947750889
1998
United Arab Emirates,ARE,0.628820896238
Cote d'Ivoire,CIV,0.582880686715864
China,CHN,0.3791320949197767
Czech Republic,CZE,0.30313193455006504
Germany,DEU,0.38763931973317933
France,FRA,0.4855038431192078
India,IND,0.46969352742913917
Korea, Republic of,0.2430814570003299
Poland,POL,0.37817789724343676
Palestine,PSE,0.5768154873419141
Russian Federation,RUS,0.5653491943715827
Slovenia,SVN,0.33056395198
USA,USA,0.5513645508474381
Yemen,YEM,0.590264947750889
1999
China,CHN,0.3841426451735323
Czech Republic,CZE,0.3020508073683539
Germany,DEU,0.3899844372897957
Egypt,EGY,0.561085014644
France,FRA,0.4860968026154655
India,IND,0.47150433736944797
Korea, Republic of,0.2569965175902801
Poland,POL,0.36936962719006894
Russian Federation,RUS,0.5801599755523228
Slovenia,SVN,0.33630003187
USA,USA,0.5563617249836006
Yemen,YEM,0.590264947750889
2000
China,CHN,0.3993900730222356
Czech Republic,CZE,0.30102226499844287
Germany,DEU,0.3948035614594798
France,FRA,0.48719180425202513
India,IND,0.4743997740642667
Korea, Republic of,0.26585539950581005
Poland,POL,0.383795000268496
Russian Federation,RUS,0.595118930503884
Slovenia,SVN,0.32866893564
USA,USA,0.5609693024179211
Yemen,YEM,0.590264947750889
2001
Brazil,BRA,0.645269282364
China,CHN,0.4098118774663116
Czech Republic,CZE,0.30002159346126
Germany,DEU,0.3946931778879379
France,FRA,0.48287636261299993
India,IND,0.48406097696294215
Korea, Republic of,0.27490785699361986
Poland,POL,0.3840865161446483
Russian Federation,RUS,0.6045600896656238
Slovenia,SVN,0.31788921949000004
Thailand,THA,0.67474400406
USA,USA,0.5521584873517384
Yemen,YEM,0.590264947750889
2002
Brazil,BRA,0.653196461486777
Cote d'Ivoire,CIV,0.6347970917229981
China,CHN,0.4395800415118432
Czech Republic,CZE,0.2990730294935443
Germany,DEU,0.4001175668993613
France,FRA,0.47335693734123185
India,IND,0.49387805654667494
Jordan,JOR,0.5266386657933331
Korea, Republic of,0.28513912148995013
Malaysia,MYS,0.5459482393690119
Poland,POL,0.3947523357233991
Russian Federation,RUS,0.5917241053035811
Slovenia,SVN,0.33272178327
Thailand,THA,0.649396364001555
Turkey,TUR,0.6209785768110732
USA,USA,0.5527585878700296
Yemen,YEM,0.590264947750889
2003
Brazil,BRA,0.653351469958829
China,CHN,0.4461097745024208
Czech Republic,CZE,0.31257807671283033
Germany,DEU,0.3946252933467208
France,FRA,0.47732855177170785
India,IND,0.503844731413969
Korea, Republic of,0.2917081890069001
Poland,POL,0.400001303301852
Russian Federation,RUS,0.5965154228854691
Slovenia,SVN,0.34119963349000004
Thailand,THA,0.6647261682755841
Turkey,TUR,0.613694675117251
USA,USA,0.5565642607964718
Yemen,YEM,0.590264947750889
2004
Brazil,BRA,0.6479128540149262
China,CHN,0.44924623498514354
Czech Republic,CZE,0.3275157664420606
Germany,DEU,0.40467531574081916
Egypt,EGY,0.5465334040416789
France,FRA,0.476805164124776
India,IND,0.5139540651170819
Korea, Republic of,0.2942468576082802
Malaysia,MYS,0.5481383765584591
Poland,POL,0.40864977854791396
Palestine,PSE,0.5781049054105432
Russian Federation,RUS,0.589630141277238
Slovenia,SVN,0.34065753971
Syrian Arab Republic,SYR,0.5816754074120001
Thailand,THA,0.6449526310788278
Turkey,TUR,0.602465614244866
USA,USA,0.5649554148867941
Yemen,YEM,0.590264947750889
2005
Bahrain,BHR,0.5906703335748191
Brazil,BRA,0.6473948188878071
China,CHN,0.4675012152674134
Czech Republic,CZE,0.32381918113574093
Germany,DEU,0.4301586054837351
France,FRA,0.4741163905253474
India,IND,0.5241982416886082
Korea, Republic of,0.28015528899172004
Lebanon,LBN,0.6147981652519999
Poland,POL,0.42901316751004315
Palestine,PSE,0.593360603211474
Russian Federation,RUS,0.5833536810551535
Slovenia,SVN,0.3332908749100001
Thailand,THA,0.644568907068666
Turkey,TUR,0.5824411458136982
USA,USA,0.5745751011659697
Yemen,YEM,0.590264947750889
2006
Brazil,BRA,0.6494971342368199
China,CHN,0.46609841624460174
Czech Republic,CZE,0.3277941168105306
Germany,DEU,0.43243531660585566
France,FRA,0.4754829167299376
India,IND,0.534648315411084
Jordan,JOR,0.5416665018720049
Korea, Republic of,0.32829320697919984
Lebanon,LBN,0.6114175461190712
Poland,POL,0.4277266450050172
Palestine,PSE,0.5898409903275559
Russian Federation,RUS,0.5951689825124143
Slovenia,SVN,0.32105422913000004
Thailand,THA,0.6432026827542119
Turkey,TUR,0.5684265582673789
USA,USA,0.5827170859135241
Yemen,YEM,0.590264947750889
2007
Brazil,BRA,0.6463626696834711
China,CHN,0.472062630502598
Czech Republic,CZE,0.32489714915884016
Germany,DEU,0.44636104940643406
France,FRA,0.4781272216821453
India,IND,0.54532651265977
Iraq,IRQ,0.5913397882
Korea, Republic of,0.33395260996472
Kuwait,KWT,0.621797922806
Lebanon,LBN,0.6591754451788299
Malaysia,MYS,0.5591575147374013
Poland,POL,0.4288219665409094
Palestine,PSE,0.616056249958718
Qatar,QAT,0.621169000614
Russian Federation,RUS,0.5976924168581549
Slovenia,SVN,0.30652291473000004
Thailand,THA,0.637002780102536
Turkey,TUR,0.5618082621771421
USA,USA,0.5792453216804245
Yemen,YEM,0.590264947750889
2008
Brazil,BRA,0.653019136885608
Cote d'Ivoire,CIV,0.6016129067148311
China,CHN,0.4731534582160541
Czech Republic,CZE,0.3389022967915992
Germany,DEU,0.45107700045685717
Egypt,EGY,0.541627680321226
France,FRA,0.47627166273805566
India,IND,0.5562186057177392
Jordan,JOR,0.5357483121046207
Korea, Republic of,0.33923573702628007
Lebanon,LBN,0.6626297675081458
Poland,POL,0.42633954309258115
Palestine,PSE,0.592298939535946
